ID,Phase,Chapter/Deliverable Title,Type,Sprint(Weeks),Skill Focus,Story/Real-world Hook,Hands-on Exercise/Project,Definition of Done,Salary-Relevant Skill Tag,Status
P0-01,Part 0 - Foundations,"Why AI Engineering, Why Now",Chapter,Wk1,"Career framing, market map",A founder's 2 AM panic: the demo that impressed investors breaks in front of a customer,Write your personal 'why' + target job spec analysis (collect 10 real AI Engineer postings in Vienna/Berlin/remote EU),10 job specs annotated with required skills,Market research,Draft complete - review pending
P0-02,Part 0 - Foundations,Setting Up Your Engineering Base Camp,Chapter,Wk1,"Git, terminal, project structure, Notion tracker",A messy garage vs an organized workshop: why senior engineers obsess over repo hygiene,Initialize this exact repo structure on GitHub with CI skeleton,"Repo pushed with README, LICENSE, GitHub Actions stub",Git/CI fundamentals,"Repo pushed, CI green, ready for chapter draft"
P0-03,Part 0 - Foundations,The Shape of the Industry: Data Scientist vs ML Engineer vs AI Engineer,Chapter,Wk2,Role clarity,Interview transcript-style dialogue between three practitioners comparing daily work,Map your own skill gaps against the AI Engineer column of the comparison table,Self-assessment matrix completed,Role/market literacy,"Parked: needs real lived material before drafting, revisit later"
P1-01,Part 1 - Python & ML Basics,"Writing Python Like an Engineer, Not a Student",Chapter,Wk3-4,"Async, OOP, typing, testing, pytest",Refactoring a junior dev's tangled notebook into production code overnight before a demo,"Convert a messy script into a tested, typed, documented module","pytest suite green, mypy clean",Python proficiency,"Draft complete - pytest/mypy green, CI enforced"
P1-02,Part 1 - Python & ML Basics,"APIs, JSON, and the Contracts That Hold Systems Together",Chapter,Wk4,"FastAPI, Pydantic, REST",A shipped feature breaks because two services disagreed on a JSON field name,"Build a FastAPI service with Pydantic v2 schemas, auth, and rate limiting","Working API with OpenAPI docs, deployed locally via Docker",API design,
P1-03,Part 1 - Python & ML Basics,Math You Actually Need (Not a PhD),Chapter,Wk5,"Linear algebra, probability, gradients intuition",A product manager asks 'why did the model get more confident but more wrong' — explaining temperature and probability simply,Visualize embeddings in 2D with PCA/t-SNE on a small dataset,Notebook + chart explaining vectors and similarity,ML literacy,
P1-04,Part 1 - Python & ML Basics,"Machine Learning as a System, Not a Subject",Chapter,Wk6-7,"Supervised/unsupervised learning, overfitting, eval metrics",A model that scored 99% accuracy but failed in production — the classic imbalanced-data trap,Train and evaluate a classic ML model (scikit-learn) on a real dataset with proper train/test/eval and metrics,"Model card with metrics, confusion matrix, and error analysis",ML fundamentals,
P1-05,Part 1 - Python & ML Basics,"Deep Learning and Neural Nets, Demystified",Chapter,Wk8,"Neural nets, loss functions, backprop intuition, PyTorch basics",Building a toy 'Mini-GPT' to finally see how token prediction actually works,Build a tiny character-level language model from scratch in PyTorch,Mini-GPT notebook that generates text,Deep learning foundations,
P2-01,Part 2 - LLM Fundamentals,"Tokens, Context Windows, and Why LLMs Hallucinate",Chapter,Wk9,"Tokenization, context limits, hallucination causes",A legal team panics after an AI cites a case that doesn't exist,Build a tokenizer visualizer; measure cost/context tradeoffs across 3 models,Report comparing token cost and context limits of 3 LLM providers,LLM literacy,
P2-02,Part 2 - LLM Fundamentals,Talking to Models: Prompting and Structured Outputs,Chapter,Wk10,"Prompt engineering, few-shot, CoT, Pydantic schemas",A support bot going off-script live on stream — and how strict schemas would've prevented it,Build a text-to-structured-JSON extractor for messy emails using function calling,Extractor with 95%+ schema-valid output on 50 test emails,Prompt engineering,
P2-03,Part 2 - LLM Fundamentals,"Your First Real Chatbot: Memory, Streaming, Tool Use",Chapter,Wk11-12,"LLM SDKs, streaming, tool calling, memory patterns",Rebuilding the 'AI receptionist' idea for a local Vienna business as a validation test,"Ship a chatbot with memory + 1 external tool, deployed publicly with a GitHub repo",Public repo + live demo URL,LLM API fluency,
PJ1,Milestone Project 1,Production-Grade RAG System,Project,Wk13-16,"Chunking, embeddings, hybrid search, reranking, eval",Turning AskDila's own docs into a 'chat with your business' feature customers can try,"Full RAG pipeline: ingestion, hybrid search (BM25+vector), reranking, citations, eval harness (RAGAS)",Deployed 'chat with your docs' app + eval report with quality scores,RAG engineering,
P3-01,Part 3 - RAG Systems,How Retrieval Actually Works,Chapter,Wk13,"Embeddings, vector DBs, chunking strategy",Comparing search results before/after switching from naive chunking to semantic chunking,Benchmark 3 chunking strategies on retrieval accuracy,Comparison table + chosen strategy justified with data,Vector DB / retrieval,
P3-02,Part 3 - RAG Systems,"Hybrid Search, Reranking, and Making Retrieval Actually Good",Chapter,Wk14-15,"BM25+vector hybrid, reranking models","The demo that looked great with 5 docs and fell apart with 5,000",Add hybrid search + reranker to Project 1's pipeline; measure precision/recall lift,Before/after metrics showing improved retrieval quality,Advanced RAG,
P3-03,Part 3 - RAG Systems,Evaluating RAG Like an Engineer,Chapter,Wk16,"RAGAS, golden sets, LLM-as-judge",A client asks 'how do you know it's not lying to my customers' — building the answer,Build a 100-example golden set + automated RAGAS eval pipeline,CI-integrated eval script with pass/fail thresholds,LLM evaluation,
P4-01,Part 4 - Agents,From Chatbots to Agents: Planning and Tool Use,Chapter,Wk17-18,"ReAct pattern, tool orchestration, MCP",An agent that books a meeting but double-books a room — debugging agentic failure modes,Build an agent using 5+ tools with MCP server integration,Agent repo with tracing dashboard showing tool call graph,Agentic AI / MCP,
P4-02,Part 4 - Agents,Multi-Agent Systems and Human-in-the-Loop,Chapter,Wk19-20,"LangGraph/CrewAI, orchestration, guardrails",A multi-agent research crew going in circles — fixing infinite loop bugs in production agents,"Build a stateful multi-step agent with retries, guardrails, and a human approval checkpoint",Working multi-agent workflow with logged decision trail,Multi-agent orchestration,
PJ2,Milestone Project 2,AI Workflow Agent (Coding or Research Agent),Project,Wk21-24,"Full agentic architecture, reliability, structured output",Automating a real AskDila workflow (e.g. lead qualification agent) end-to-end,"Agent with planning, tool use, retries, structured output, deployed with tracing",Public repo + demo video + tracing dashboard link,Agent engineering,
P5-01,Part 5 - Evaluation & Observability,Why Production AI Fails Differently,Chapter,Wk25,"Failure modes: hallucination, drift, rate limits, partial tool failure",A postmortem story: the outage caused not by code but by a silent prompt regression,Write a failure-mode catalogue for your own systems built so far,Documented incident runbook,Observability mindset,
P5-02,Part 5 - Evaluation & Observability,"Tracing, Cost, and Latency Dashboards",Chapter,Wk26-27,"Langfuse/LangSmith/OpenTelemetry, cost tracking",Explaining to a non-technical founder why the AI bill tripled overnight,"Build a dashboard tracking latency, token cost, and quality per model per request",Deployed dashboard with real data from Projects 1 and 2,LLMOps / cost control,
PJ3,Milestone Project 3,AI Observability + Cost Dashboard,Project,Wk28-29,"Tracing integration, dashboarding, alerting",Packaging observability as a feature AskDila clients would pay for,"Full dashboard wired to Projects 1 & 2, with alerting on quality/cost thresholds",Live dashboard + alert rules documented,LLMOps portfolio piece,
P6-01,Part 6 - Deployment & MLOps,"Containers, Cloud, and Shipping for Real",Chapter,Wk30-31,"Docker, CI/CD, AWS Bedrock/Vertex/Azure AI",Migrating a fragile local demo to a resilient cloud deployment before a big client pitch,Deploy one project to a cloud AI service (Bedrock/Vertex/Azure) with IAM and monitoring,Live cloud deployment + architecture diagram,Cloud AI deployment,
P6-02,Part 6 - Deployment & MLOps,Fine-Tuning and Small Language Models,Chapter,Wk32,"LoRA/QLoRA, PEFT, local SLMs (Ollama/vLLM)",Fine-tuning a small model to match a client's brand voice instead of prompting endlessly,Fine-tune a small open model with LoRA on a custom dataset; compare vs prompting,Before/after eval comparing fine-tuned vs prompted outputs,Fine-tuning,
P7-01,Part 7 - Specialization,"Choosing Your Edge: RAG-at-Scale, Agentic Systems, or AI Security",Chapter,Wk33,Career specialization strategy,Deciding your 'AI engineer archetype' the way you'd choose a startup niche,Pick a specialization and outline 2-3 blog posts / a mini open-source contribution,Specialization brief + published content plan,Career positioning,
P8-01,Part 8 - Job Launch,Building the Portfolio That Gets Interviews,Chapter,Wk34-35,"Portfolio curation, storytelling for interviews",Turning 3 messy repos into a narrative a hiring manager reads in 5 minutes,"Polish READMEs, record demo videos, write case studies for all 3 milestone projects",3 polished project case studies published,Portfolio/personal brand,
P8-02,Part 8 - Job Launch,"Pitching Yourself: CV, LinkedIn, and the €100k Interview",Chapter,Wk36-38,"Salary negotiation, interview prep, EU market targeting","Negotiating a €100k+ offer in Vienna/Berlin/remote by anchoring on delivered systems, not titles","Apply to 30+ roles, run 5 mock interviews, negotiate at least one real offer",Signed offer above €100k OR 3 final-round interviews logged,Job search / negotiation,
